Lattitude	Longitude	WaveProb
51.12162	1.848485	1.358
51.12162	1.878788	1.348
51.12162	1.909091	1.348
51.12162	1.939394	1.3460001
51.12162	1.969697	1.342
51.12162	2.0	1.33
51.12162	2.030303	1.302
51.12162	2.060606	1.296
51.12162	2.09091	1.294
51.12162	2.121213	1.2820001
51.12162	2.151516	1.276
51.12162	2.181819	1.2720001
51.12162	2.212122	1.266
51.12162	2.242425	1.258
51.12162	2.272728	1.2440001
51.12162	2.303031	1.2320001
51.12162	2.333334	1.2060001
51.12162	2.363637	1.192
51.12162	2.39394	1.1860001
51.12162	2.424243	1.182
51.12162	2.454546	1.1520001
51.12162	2.484849	1.1140001
51.12162	2.515152	1.0840001
51.12162	2.545455	1.0500001
51.12162	2.575758	1.0040001
51.12162	2.606061	0.9480001
51.13514	1.484849	1.054
51.13514	1.515152	1.102
51.13514	1.545455	1.146
51.13514	1.575758	1.194
51.13514	1.606061	1.2060001
51.13514	1.636364	1.238
51.13514	1.666667	1.2780001
51.13514	1.69697	1.2900001
51.13514	1.727273	1.3100001
51.13514	1.757576	1.3360001
51.13514	1.787879	1.3360001
51.13514	1.818182	1.34
51.13514	1.848485	1.35
51.13514	1.878788	1.3440001
51.13514	1.909091	1.3460001
51.13514	1.939394	1.3440001
51.13514	1.969697	1.3460001
51.13514	2.0	1.3440001
51.13514	2.030303	1.3340001
51.13514	2.060606	1.302
51.13514	2.09091	1.32
51.13514	2.121213	1.2980001
51.13514	2.151516	1.302
51.13514	2.181819	1.294
51.13514	2.212122	1.292
51.13514	2.242425	1.2880001
51.13514	2.272728	1.2820001
51.13514	2.303031	1.276
51.13514	2.333334	1.2620001
51.13514	2.363637	1.25
51.13514	2.39394	1.23
51.13514	2.424243	1.2160001
51.13514	2.454546	1.2
51.13514	2.484849	1.154
51.13514	2.515152	1.13
51.13514	2.545455	1.1060001
51.13514	2.575758	1.064
51.13514	2.606061	1.024
51.13514	2.636364	0.97200006
51.13514	2.666667	0.892
51.14865	1.484849	1.0120001
51.14865	1.515152	1.062
51.14865	1.545455	1.102
51.14865	1.575758	1.154
51.14865	1.606061	1.166
51.14865	1.636364	1.19
51.14865	1.666667	1.238
51.14865	1.69697	1.2620001
51.14865	1.727273	1.268
51.14865	1.757576	1.296
51.14865	1.787879	1.314
51.14865	1.818182	1.3160001
51.14865	1.848485	1.3260001
51.14865	1.878788	1.338
51.14865	1.909091	1.338
51.14865	1.939394	1.34
51.14865	1.969697	1.3460001
51.14865	2.0	1.3460001
51.14865	2.030303	1.3460001
51.14865	2.060606	1.3360001
51.14865	2.09091	1.312
51.14865	2.121213	1.294
51.14865	2.151516	1.302
51.14865	2.181819	1.3000001
51.14865	2.212122	1.3000001
51.14865	2.242425	1.302
51.14865	2.272728	1.3000001
51.14865	2.303031	1.292
51.14865	2.333334	1.2820001
51.14865	2.363637	1.276
51.14865	2.39394	1.2620001
51.14865	2.424243	1.238
51.14865	2.454546	1.2160001
51.14865	2.484849	1.182
51.14865	2.515152	1.1420001
51.14865	2.545455	1.1400001
51.14865	2.575758	1.1140001
51.14865	2.606061	1.074
51.14865	2.636364	1.0300001
51.14865	2.666667	0.97400004
51.14865	2.69697	0.90000004
51.16216	1.484849	0.95400006
51.16216	1.515152	1.0220001
51.16216	1.545455	1.062
51.16216	1.575758	1.1220001
51.16216	1.606061	1.1420001
51.16216	1.636364	1.176
51.16216	1.666667	1.21
51.16216	1.69697	1.248
51.16216	1.727273	1.266
51.16216	1.757576	1.2820001
51.16216	1.787879	1.3060001
51.16216	1.818182	1.314
51.16216	1.848485	1.3160001
51.16216	1.878788	1.33
51.16216	1.909091	1.3340001
51.16216	1.939394	1.3340001
51.16216	1.969697	1.342
51.16216	2.0	1.34
51.16216	2.030303	1.342
51.16216	2.060606	1.3440001
51.16216	2.09091	1.33
51.16216	2.121213	1.296
51.16216	2.151516	1.302
51.16216	2.181819	1.314
51.16216	2.212122	1.3060001
51.16216	2.242425	1.3080001
51.16216	2.272728	1.3000001
51.16216	2.303031	1.2880001
51.16216	2.333334	1.2880001
51.16216	2.363637	1.2800001
51.16216	2.39394	1.2780001
51.16216	2.424243	1.268
51.16216	2.454546	1.238
51.16216	2.484849	1.21
51.16216	2.515152	1.166
51.16216	2.545455	1.1420001
51.16216	2.575758	1.13
51.16216	2.606061	1.1120001
51.16216	2.636364	1.08
51.16216	2.666667	1.0300001
51.16216	2.69697	0.98600006
51.16216	2.727273	0.89800006
51.17567	1.484849	0.90200007
51.17567	1.515152	0.97400004
51.17567	1.545455	1.024
51.17567	1.575758	1.08
51.17567	1.606061	1.098
51.17567	1.636364	1.1340001
51.17567	1.666667	1.1780001
51.17567	1.69697	1.2
51.17567	1.727273	1.2420001
51.17567	1.757576	1.266
51.17567	1.787879	1.2780001
51.17567	1.818182	1.2980001
51.17567	1.848485	1.3000001
51.17567	1.878788	1.3080001
51.17567	1.909091	1.322
51.17567	1.939394	1.3280001
51.17567	1.969697	1.34
51.17567	2.0	1.34
51.17567	2.030303	1.34
51.17567	2.060606	1.3440001
51.17567	2.09091	1.3460001
51.17567	2.121213	1.33
51.17567	2.151516	1.312
51.17567	2.181819	1.3180001
51.17567	2.212122	1.3080001
51.17567	2.242425	1.3060001
51.17567	2.272728	1.294
51.17567	2.303031	1.2820001
51.17567	2.333334	1.2820001
51.17567	2.363637	1.284
51.17567	2.39394	1.2880001
51.17567	2.424243	1.2820001
51.17567	2.454546	1.246
51.17567	2.484849	1.2160001
51.17567	2.515152	1.2040001
51.17567	2.545455	1.1580001
51.17567	2.575758	1.13
51.17567	2.606061	1.116
51.17567	2.636364	1.0960001
51.17567	2.666667	1.07
51.17567	2.69697	1.0320001
51.17567	2.727273	0.98600006
51.17567	2.757576	0.92
51.18919	1.484849	0.84400004
51.18919	1.515152	0.91400003
51.18919	1.545455	0.98200005
51.18919	1.575758	1.046
51.18919	1.606061	1.07
51.18919	1.636364	1.116
51.18919	1.666667	1.172
51.18919	1.69697	1.184
51.18919	1.727273	1.2240001
51.18919	1.757576	1.25
51.18919	1.787879	1.266
51.18919	1.818182	1.276
51.18919	1.848485	1.286
51.18919	1.878788	1.2800001
51.18919	1.909091	1.3080001
51.18919	1.939394	1.3180001
51.18919	1.969697	1.332
51.18919	2.0	1.3340001
51.18919	2.030303	1.3360001
51.18919	2.060606	1.34
51.18919	2.09091	1.342
51.18919	2.121213	1.34
51.18919	2.151516	1.3080001
51.18919	2.181819	1.3260001
51.18919	2.212122	1.3160001
51.18919	2.242425	1.3000001
51.18919	2.272728	1.2880001
51.18919	2.303031	1.2880001
51.18919	2.333334	1.286
51.18919	2.363637	1.2900001
51.18919	2.39394	1.3000001
51.18919	2.424243	1.2900001
51.18919	2.454546	1.268
51.18919	2.484849	1.248
51.18919	2.515152	1.23
51.18919	2.545455	1.194
51.18919	2.575758	1.146
51.18919	2.606061	1.126
51.18919	2.636364	1.1040001
51.18919	2.666667	1.09
51.18919	2.69697	1.0580001
51.18919	2.727273	1.0320001
51.18919	2.757576	0.99200004
51.18919	2.787879	0.91800004
51.2027	1.484849	0.77800006
51.2027	1.515152	0.85
51.2027	1.545455	0.92800003
51.2027	1.575758	1.0020001
51.2027	1.606061	1.0200001
51.2027	1.636364	1.074
51.2027	1.666667	1.128
51.2027	1.69697	1.144
51.2027	1.727273	1.1980001
51.2027	1.757576	1.228
51.2027	1.787879	1.2440001
51.2027	1.818182	1.256
51.2027	1.848485	1.276
51.2027	1.878788	1.2620001
51.2027	1.909091	1.292
51.2027	1.939394	1.3100001
51.2027	1.969697	1.3280001
51.2027	2.0	1.33
51.2027	2.030303	1.3340001
51.2027	2.060606	1.34
51.2027	2.09091	1.342
51.2027	2.121213	1.342
51.2027	2.151516	1.3260001
51.2027	2.181819	1.33
51.2027	2.212122	1.3260001
51.2027	2.242425	1.304
51.2027	2.272728	1.294
51.2027	2.303031	1.3060001
51.2027	2.333334	1.302
51.2027	2.363637	1.2800001
51.2027	2.39394	1.304
51.2027	2.424243	1.2900001
51.2027	2.454546	1.2540001
51.2027	2.484849	1.2520001
51.2027	2.515152	1.2520001
51.2027	2.545455	1.2240001
51.2027	2.575758	1.1700001
51.2027	2.606061	1.144
51.2027	2.636364	1.128
51.2027	2.666667	1.098
51.2027	2.69697	1.0680001
51.2027	2.727273	1.044
51.2027	2.757576	1.016
51.2027	2.787879	0.98800004
51.2027	2.818182	0.90800005
51.2027	2.848485	0.86
51.21622	1.484849	0.702
51.21622	1.515152	0.79
51.21622	1.545455	0.86800003
51.21622	1.575758	0.95800006
51.21622	1.606061	0.98800004
51.21622	1.636364	1.0580001
51.21622	1.666667	1.1140001
51.21622	1.69697	1.13
51.21622	1.727273	1.174
51.21622	1.757576	1.2260001
51.21622	1.787879	1.238
51.21622	1.818182	1.2520001
51.21622	1.848485	1.2720001
51.21622	1.878788	1.276
51.21622	1.909091	1.2800001
51.21622	1.939394	1.3000001
51.21622	1.969697	1.3180001
51.21622	2.0	1.322
51.21622	2.030303	1.3240001
51.21622	2.060606	1.332
51.21622	2.09091	1.3340001
51.21622	2.121213	1.338
51.21622	2.151516	1.33
51.21622	2.181819	1.3260001
51.21622	2.212122	1.332
51.21622	2.242425	1.3180001
51.21622	2.272728	1.304
51.21622	2.303031	1.3100001
51.21622	2.333334	1.312
51.21622	2.363637	1.296
51.21622	2.39394	1.3060001
51.21622	2.424243	1.304
51.21622	2.454546	1.2780001
51.21622	2.484849	1.2360001
51.21622	2.515152	1.2520001
51.21622	2.545455	1.238
51.21622	2.575758	1.1980001
51.21622	2.606061	1.1700001
51.21622	2.636364	1.154
51.21622	2.666667	1.128
51.21622	2.69697	1.0940001
51.21622	2.727273	1.07
51.21622	2.757576	1.044
51.21622	2.787879	1.014
51.21622	2.818182	0.98
51.21622	2.848485	0.92600006
51.22973	1.484849	0.63600004
51.22973	1.515152	0.73
51.22973	1.545455	0.82400006
51.22973	1.575758	0.91200006
51.22973	1.606061	0.96800005
51.22973	1.636364	1.0220001
51.22973	1.666667	1.074
51.22973	1.69697	1.0940001
51.22973	1.727273	1.1500001
51.22973	1.757576	1.194
51.22973	1.787879	1.212
51.22973	1.818182	1.2320001
51.22973	1.848485	1.2620001
51.22973	1.878788	1.268
51.22973	1.909091	1.2780001
51.22973	1.939394	1.2900001
51.22973	1.969697	1.3000001
51.22973	2.0	1.314
51.22973	2.030303	1.322
51.22973	2.060606	1.33
51.22973	2.09091	1.3340001
51.22973	2.121213	1.338
51.22973	2.151516	1.338
51.22973	2.181819	1.332
51.22973	2.212122	1.33
51.22973	2.242425	1.33
51.22973	2.272728	1.3100001
51.22973	2.303031	1.292
51.22973	2.333334	1.314
51.22973	2.363637	1.314
51.22973	2.39394	1.3000001
51.22973	2.424243	1.2980001
51.22973	2.454546	1.2880001
51.22973	2.484849	1.2420001
51.22973	2.515152	1.23
51.22973	2.545455	1.2520001
51.22973	2.575758	1.222
51.22973	2.606061	1.192
51.22973	2.636364	1.172
51.22973	2.666667	1.1520001
51.22973	2.69697	1.13
51.22973	2.727273	1.0860001
51.22973	2.757576	1.0580001
51.22973	2.787879	1.0320001
51.22973	2.818182	1.008
51.22973	2.848485	0.97800004
51.22973	2.878788	0.924
51.24324	1.484849	0.586
51.24324	1.515152	0.674
51.24324	1.545455	0.776
51.24324	1.575758	0.86600006
51.24324	1.606061	0.938
51.24324	1.636364	1.006
51.24324	1.666667	1.0600001
51.24324	1.69697	1.0840001
51.24324	1.727273	1.1220001
51.24324	1.757576	1.192
51.24324	1.787879	1.2060001
51.24324	1.818182	1.228
51.24324	1.848485	1.256
51.24324	1.878788	1.2620001
51.24324	1.909091	1.2700001
51.24324	1.939394	1.2820001
51.24324	1.969697	1.2900001
51.24324	2.0	1.296
51.24324	2.030303	1.312
51.24324	2.060606	1.3240001
51.24324	2.09091	1.33
51.24324	2.121213	1.332
51.24324	2.151516	1.3340001
51.24324	2.181819	1.332
51.24324	2.212122	1.332
51.24324	2.242425	1.33
51.24324	2.272728	1.32
51.24324	2.303031	1.3000001
51.24324	2.333334	1.3100001
51.24324	2.363637	1.3240001
51.24324	2.39394	1.286
51.24324	2.424243	1.2600001
51.24324	2.454546	1.296
51.24324	2.484849	1.2720001
51.24324	2.515152	1.228
51.24324	2.545455	1.2440001
51.24324	2.575758	1.238
51.24324	2.606061	1.202
51.24324	2.636364	1.1860001
51.24324	2.666667	1.164
51.24324	2.69697	1.1500001
51.24324	2.727273	1.13
51.24324	2.757576	1.0860001
51.24324	2.787879	1.0580001
51.24324	2.818182	1.036
51.24324	2.848485	1.008
51.24324	2.878788	0.98
51.24324	2.909091	0.924
51.25676	1.484849	0.546
51.25676	1.515152	0.63000005
51.25676	1.545455	0.73
51.25676	1.575758	0.82800007
51.25676	1.606061	0.90800005
51.25676	1.636364	0.97200006
51.25676	1.666667	1.026
51.25676	1.69697	1.052
51.25676	1.727273	1.098
51.25676	1.757576	1.1620001
51.25676	1.787879	1.1800001
51.25676	1.818182	1.21
51.25676	1.848485	1.2440001
51.25676	1.878788	1.2540001
51.25676	1.909091	1.264
51.25676	1.939394	1.274
51.25676	1.969697	1.284
51.25676	2.0	1.2900001
51.25676	2.030303	1.2980001
51.25676	2.060606	1.322
51.25676	2.09091	1.3260001
51.25676	2.121213	1.332
51.25676	2.151516	1.332
51.25676	2.181819	1.33
51.25676	2.212122	1.3280001
51.25676	2.242425	1.3280001
51.25676	2.272728	1.32
51.25676	2.303031	1.2980001
51.25676	2.333334	1.3000001
51.25676	2.363637	1.3160001
51.25676	2.39394	1.296
51.25676	2.424243	1.25
51.25676	2.454546	1.2820001
51.25676	2.484849	1.2780001
51.25676	2.515152	1.248
51.25676	2.545455	1.23
51.25676	2.575758	1.2440001
51.25676	2.606061	1.2140001
51.25676	2.636364	1.192
51.25676	2.666667	1.182
51.25676	2.69697	1.1420001
51.25676	2.727273	1.136
51.25676	2.757576	1.12
51.25676	2.787879	1.08
51.25676	2.818182	1.056
51.25676	2.848485	1.0320001
51.25676	2.878788	1.01
51.25676	2.909091	0.9760001
51.25676	2.939394	0.92200005
51.25676	2.969697	0.846
51.27027	1.484849	0.51000005
51.27027	1.515152	0.59400004
51.27027	1.545455	0.69200003
51.27027	1.575758	0.794
51.27027	1.606061	0.87600005
51.27027	1.636364	0.95800006
51.27027	1.666667	1.014
51.27027	1.69697	1.044
51.27027	1.727273	1.092
51.27027	1.757576	1.1580001
51.27027	1.787879	1.1780001
51.27027	1.818182	1.2060001
51.27027	1.848485	1.24
51.27027	1.878788	1.25
51.27027	1.909091	1.2600001
51.27027	1.939394	1.2700001
51.27027	1.969697	1.276
51.27027	2.0	1.284
51.27027	2.030303	1.2900001
51.27027	2.060606	1.304
51.27027	2.09091	1.3180001
51.27027	2.121213	1.3180001
51.27027	2.151516	1.32
51.27027	2.181819	1.3180001
51.27027	2.212122	1.3180001
51.27027	2.242425	1.3180001
51.27027	2.272728	1.3160001
51.27027	2.303031	1.3000001
51.27027	2.333334	1.294
51.27027	2.363637	1.3080001
51.27027	2.39394	1.302
51.27027	2.424243	1.2520001
51.27027	2.454546	1.2600001
51.27027	2.484849	1.276
51.27027	2.515152	1.264
51.27027	2.545455	1.23
51.27027	2.575758	1.2240001
51.27027	2.606061	1.2260001
51.27027	2.636364	1.19
51.27027	2.666667	1.194
51.27027	2.69697	1.156
51.27027	2.727273	1.1320001
51.27027	2.757576	1.1120001
51.27027	2.787879	1.1040001
51.27027	2.818182	1.0680001
51.27027	2.848485	1.0500001
51.27027	2.878788	1.0300001
51.27027	2.909091	1.008
51.27027	2.939394	0.97400004
51.27027	2.969697	0.93200004
51.27027	3.0	0.88000005
51.28378	1.484849	0.48800004
51.28378	1.515152	0.56600004
51.28378	1.545455	0.656
51.28378	1.575758	0.768
51.28378	1.606061	0.85
51.28378	1.636364	0.938
51.28378	1.666667	1.0
51.28378	1.69697	1.026
51.28378	1.727273	1.0840001
51.28378	1.757576	1.126
51.28378	1.787879	1.1700001
51.28378	1.818182	1.192
51.28378	1.848485	1.23
51.28378	1.878788	1.24
51.28378	1.909091	1.2540001
51.28378	1.939394	1.268
51.28378	1.969697	1.2720001
51.28378	2.0	1.276
51.28378	2.030303	1.2800001
51.28378	2.060606	1.294
51.28378	2.09091	1.312
51.28378	2.121213	1.3160001
51.28378	2.151516	1.3180001
51.28378	2.181819	1.314
51.28378	2.212122	1.3080001
51.28378	2.242425	1.3060001
51.28378	2.272728	1.3060001
51.28378	2.303031	1.3000001
51.28378	2.333334	1.2900001
51.28378	2.363637	1.284
51.28378	2.39394	1.286
51.28378	2.424243	1.266
51.28378	2.454546	1.2240001
51.28378	2.484849	1.2520001
51.28378	2.515152	1.2540001
51.28378	2.545455	1.2360001
51.28378	2.575758	1.2040001
51.28378	2.606061	1.2260001
51.28378	2.636364	1.2060001
51.28378	2.666667	1.1980001
51.28378	2.69697	1.176
51.28378	2.727273	1.154
51.28378	2.757576	1.128
51.28378	2.787879	1.1040001
51.28378	2.818182	1.088
51.28378	2.848485	1.064
51.28378	2.878788	1.046
51.28378	2.909091	1.0320001
51.28378	2.939394	1.01
51.28378	2.969697	0.98800004
51.28378	3.0	0.95000005
51.2973	1.484849	0.47400004
51.2973	1.515152	0.55
51.2973	1.545455	0.638
51.2973	1.575758	0.74600005
51.2973	1.606061	0.83000004
51.2973	1.636364	0.91
51.2973	1.666667	0.99000007
51.2973	1.69697	1.0220001
51.2973	1.727273	1.07
51.2973	1.757576	1.0960001
51.2973	1.787879	1.1600001
51.2973	1.818182	1.1880001
51.2973	1.848485	1.2240001
51.2973	1.878788	1.2340001
51.2973	1.909091	1.248
51.2973	1.939394	1.2620001
51.2973	1.969697	1.268
51.2973	2.0	1.2720001
51.2973	2.030303	1.2720001
51.2973	2.060606	1.2800001
51.2973	2.09091	1.292
51.2973	2.121213	1.2980001
51.2973	2.151516	1.302
51.2973	2.181819	1.3000001
51.2973	2.212122	1.296
51.2973	2.242425	1.292
51.2973	2.272728	1.292
51.2973	2.303031	1.292
51.2973	2.333334	1.284
51.2973	2.363637	1.2700001
51.2973	2.39394	1.266
51.2973	2.424243	1.274
51.2973	2.454546	1.2420001
51.2973	2.484849	1.222
51.2973	2.515152	1.248
51.2973	2.545455	1.2360001
51.2973	2.575758	1.2060001
51.2973	2.606061	1.2080001
51.2973	2.636364	1.212
51.2973	2.666667	1.1980001
51.2973	2.69697	1.1960001
51.2973	2.727273	1.176
51.2973	2.757576	1.1600001
51.2973	2.787879	1.126
51.2973	2.818182	1.11
51.2973	2.848485	1.088
51.2973	2.878788	1.0680001
51.2973	2.909091	1.052
51.2973	2.939394	1.034
51.2973	2.969697	1.016
51.2973	3.0	0.99600005
51.2973	3.030303	0.94600004
51.2973	3.060607	0.87600005
51.31081	1.484849	0.462
51.31081	1.515152	0.544
51.31081	1.545455	0.628
51.31081	1.575758	0.73200005
51.31081	1.606061	0.82000005
51.31081	1.636364	0.896
