,date,lat_bin,lon_bin,Element,Element_value,Element_dis,Element_greater_than_max
137352,2015-02-16,5377,753,zinc,43500.0,122.70552905181407,1.0
137353,2015-02-16,5377,743,zinc,43500.0,123.15374471917573,1.0
137354,2015-02-16,5377,739,zinc,43500.0,123.35976498473212,1.0
137355,2015-02-16,5377,735,zinc,43500.0,123.58095030701486,1.0
137356,2015-02-16,5377,746,zinc,43500.0,123.00922767719933,1.0
137357,2015-02-16,5377,744,zinc,43500.0,123.10461824643352,1.0
137358,2015-02-16,5377,756,zinc,43500.0,122.58979911362148,1.0
137359,2015-02-16,5377,747,zinc,43500.0,122.96296580318476,1.0
137360,2015-02-16,5377,752,zinc,43500.0,122.74603312585806,1.0
137361,2015-02-16,5377,736,zinc,43500.0,123.52423661587063,1.0
137362,2015-02-16,5377,738,zinc,43500.0,123.41364268348768,1.0
137363,2015-02-16,5378,737,zinc,43500.0,122.87543175682505,1.0
137364,2015-02-16,5378,758,zinc,43500.0,121.92004305709017,1.0
137365,2015-02-16,5378,741,zinc,43500.0,122.66083796620735,1.0
137366,2015-02-16,5378,739,zinc,43500.0,122.76623092178284,1.0
137367,2015-02-16,5378,746,zinc,43500.0,122.41407877480799,1.0
137368,2015-02-16,5378,743,zinc,43500.0,122.55926272226804,1.0
137369,2015-02-16,5378,745,zinc,43500.0,122.46151469799942,1.0
137370,2015-02-16,5379,752,zinc,43500.0,121.55333758344794,1.0
137371,2015-02-16,5379,758,zinc,43500.0,121.32264202910103,1.0
137372,2015-02-16,5379,757,zinc,43500.0,121.35865548346773,1.0
137373,2015-02-16,5379,750,zinc,43500.0,121.6380130871126,1.0
137374,2015-02-16,5379,748,zinc,43500.0,121.7265638583092,1.0
137375,2015-02-16,5380,752,zinc,43500.0,120.95705000671643,1.0
137376,2015-02-16,5381,752,zinc,43500.0,120.3608033548842,1.0
137377,2015-02-16,5382,752,zinc,43500.0,119.76459823918383,1.0
137378,2015-02-16,5383,751,zinc,43500.0,119.21108435538088,1.0
137379,2015-02-16,5384,753,zinc,43500.0,118.53045537278115,1.0
137380,2015-02-16,5384,754,zinc,43500.0,118.48959002259497,1.0
137381,2015-02-16,5384,748,zinc,43500.0,118.74967669071384,1.0
137382,2015-02-16,5384,752,zinc,43500.0,118.57231512235579,1.0
137383,2015-02-16,5384,755,zinc,43500.0,118.44972010183811,1.0
137384,2015-02-16,5384,750,zinc,43500.0,118.65901358167292,1.0
137385,2015-02-16,5384,756,zinc,43500.0,118.41084661683058,1.0
137386,2015-02-16,5385,742,zinc,43500.0,118.45155080285491,1.0
137387,2015-02-16,5385,750,zinc,43500.0,118.06335361162253,1.0
137388,2015-02-16,5385,744,zinc,43500.0,118.34856021602423,1.0
137389,2015-02-16,5385,751,zinc,43500.0,118.01929756820037,1.0
137390,2015-02-16,5385,746,zinc,43500.0,118.24952391539925,1.0
137391,2015-02-16,5385,749,zinc,43500.0,118.10840541968479,1.0
137392,2015-02-16,5385,748,zinc,43500.0,118.15445185242729,1.0
137393,2015-02-16,5386,739,zinc,43500.0,118.02045985362442,1.0
137394,2015-02-16,5386,741,zinc,43500.0,117.91103600143082,1.0
137395,2015-02-16,5386,737,zinc,43500.0,118.13382930006485,1.0
137396,2015-02-16,5391,797,zinc,43500.0,113.48135824908184,1.0
137397,2015-02-16,5392,795,zinc,43500.0,112.87674757152011,1.0
137398,2015-02-16,5393,794,zinc,43500.0,112.2758134796106,1.0
137399,2015-02-16,5393,795,zinc,43500.0,112.27634485063047,1.0
137400,2015-02-16,5393,793,zinc,43500.0,112.27634485063047,1.0
137401,2015-02-16,5396,515,zinc,43500.0,146.5766246408063,1.0
137402,2015-02-16,5399,507,,,,
137403,2015-02-16,5401,508,zinc,43500.0,145.91119397827546,1.0
137404,2015-02-16,5403,523,zinc,43500.0,141.5430712083261,1.0
137405,2015-02-16,5403,525,zinc,43500.0,141.08833428541044,1.0
137406,2015-02-16,5403,509,zinc,43500.0,144.7782587294248,1.0
137407,2015-02-16,5404,523,zinc,43500.0,141.0853331678357,1.0
137408,2015-02-16,5404,531,zinc,43500.0,139.27243825206486,1.0
137409,2015-02-16,5404,521,zinc,43500.0,141.54333025633528,1.0
137410,2015-02-16,5404,508,zinc,43500.0,144.56514813896368,1.0
137411,2015-02-16,5404,510,zinc,43500.0,144.09530066428957,1.0
137412,2015-02-16,5404,526,zinc,43500.0,140.40188849898178,1.0
137413,2015-02-16,5405,512,zinc,43500.0,143.17805744917825,1.0
137414,2015-02-16,5405,521,zinc,43500.0,141.08803632485717,1.0
137415,2015-02-16,5405,531,zinc,43500.0,138.81025283342532,1.0
137416,2015-02-16,5405,528,,,,
137417,2015-02-16,5406,526,zinc,43500.0,139.4855061714017,1.0
137418,2015-02-16,5406,514,,,,
137419,2015-02-16,5406,523,zinc,43500.0,140.17308622389243,1.0
137420,2015-02-16,5406,525,zinc,43500.0,139.7142247822117,1.0
137421,2015-02-16,5406,528,zinc,43500.0,139.0295049082702,1.0
137422,2015-02-16,5407,521,,,,
137423,2015-02-16,5407,526,zinc,43500.0,139.02893839643,1.0
137424,2015-02-16,5407,528,zinc,43500.0,138.5715458548549,1.0
137425,2015-02-16,5407,527,zinc,43500.0,138.80000247046252,1.0
137426,2015-02-16,5407,516,zinc,43500.0,141.34414390830023,1.0
137427,2015-02-16,5407,522,,,,
137428,2015-02-16,5407,531,,,,
137429,2015-02-16,5408,522,zinc,43500.0,139.49673893538935,1.0
137430,2015-02-16,5408,519,zinc,43500.0,140.1941001677417,1.0
137431,2015-02-16,5408,523,zinc,43500.0,139.26521526188475,1.0
137432,2015-02-16,5409,528,,,,
137433,2015-02-16,5409,531,,,,
137434,2015-02-16,5410,527,,,,
137435,2015-02-16,5410,526,zinc,43500.0,137.66585776526873,1.0
137436,2015-02-16,5411,523,zinc,43500.0,137.9118027172916,1.0
137437,2015-02-16,5411,531,zinc,43500.0,136.0597985533399,1.0
137438,2015-02-16,5411,528,,,,
137439,2015-02-16,5412,465,zinc,43500.0,151.7500226468155,1.0
137440,2015-02-16,5412,525,zinc,43500.0,136.9956913127378,1.0
137441,2015-02-16,5413,461,zinc,43500.0,152.3761748277608,1.0
137442,2015-02-16,5413,463,zinc,43500.0,151.85804616054287,1.0
137443,2015-02-16,5413,522,zinc,43500.0,137.2502863326851,1.0
137444,2015-02-16,5413,459,zinc,43500.0,152.89565069123435,1.0
137445,2015-02-16,5413,457,zinc,43500.0,153.41646002368765,1.0
137446,2015-02-16,5413,523,zinc,43500.0,137.01525259641164,1.0
137447,2015-02-16,5414,453,zinc,43500.0,154.0620624098709,1.0
137448,2015-02-16,5414,455,zinc,43500.0,153.53739099375994,1.0
137449,2015-02-16,5415,445,zinc,43500.0,155.779725030934,1.0
137450,2015-02-16,5431,799,,,,
137451,2015-02-16,5431,798,,,,
137452,2015-02-16,5432,799,,,,
137453,2015-02-16,5432,749,zinc,43500.0,90.19669516035762,1.0
137454,2015-02-16,5433,749,zinc,43500.0,89.60492013279881,1.0
137455,2015-02-16,5433,799,,,,
137456,2015-02-16,5433,798,zinc,43500.0,88.27030680881283,1.0
137457,2015-02-16,5434,798,,,,
137458,2015-02-16,5434,799,,,,
137459,2015-02-16,5435,799,,,,
137460,2015-02-16,5435,747,zinc,43500.0,88.54452073390136,1.0
137461,2015-02-16,5435,798,,,,
137462,2015-02-16,5436,798,,,,
137463,2015-02-16,5436,797,,,,
137464,2015-02-16,5436,800,,,,
137465,2015-02-16,5436,799,,,,
137466,2015-02-16,5437,799,,,,
137467,2015-02-16,5437,800,zinc,43500.0,85.88272052786299,1.0
137468,2015-02-16,5437,747,zinc,43500.0,87.36340240480853,1.0
137469,2015-02-16,5437,796,zinc,43500.0,85.86072486771769,1.0
137470,2015-02-16,5437,797,,,,
137471,2015-02-16,5438,747,zinc,43500.0,86.77304590687652,1.0
137472,2015-02-16,5438,796,,,,
137473,2015-02-16,5438,797,,,,
137474,2015-02-16,5438,795,zinc,43500.0,85.25826173758811,1.0
137475,2015-02-16,5439,796,,,,
137476,2015-02-16,5439,797,,,,
137477,2015-02-16,5439,800,zinc,43500.0,84.68224829063462,1.0
137478,2015-02-16,5439,793,,,,
137479,2015-02-16,5439,792,,,,
137480,2015-02-16,5440,796,,,,
137481,2015-02-16,5440,747,zinc,43500.0,85.59275222271168,1.0
137482,2015-02-16,5440,797,,,,
137483,2015-02-16,5440,795,,,,
137484,2015-02-16,5441,792,zinc,43500.0,83.45917954641648,1.0
137485,2015-02-16,5441,748,zinc,43500.0,84.93828178879568,1.0
137486,2015-02-16,5441,796,,,,
137487,2015-02-16,5442,791,zinc,43500.0,82.86235126020337,1.0
137488,2015-02-16,5442,748,zinc,43500.0,84.34806276807366,1.0
137489,2015-02-16,5443,791,zinc,43500.0,82.26199099398498,1.0
137490,2015-02-16,5443,748,zinc,43500.0,83.75798851848006,1.0
137491,2015-02-16,5444,748,zinc,43500.0,83.16806212145146,1.0
137492,2015-02-16,5444,791,,,,
137493,2015-02-16,5445,791,zinc,43500.0,81.0612724677452,1.0
137494,2015-02-16,5445,792,zinc,43500.0,81.05763874885172,1.0
137495,2015-02-16,5446,749,zinc,43500.0,81.92327192734129,1.0
137496,2015-02-16,5446,791,zinc,43500.0,80.46091423766288,1.0
137497,2015-02-16,5446,792,zinc,43500.0,80.45725430376488,1.0
137498,2015-02-16,5448,751,zinc,43500.0,80.61517010852643,1.0
137499,2015-02-16,5449,793,zinc,43500.0,78.65385821629708,1.0
137500,2015-02-16,5450,751,zinc,43500.0,79.43427216561535,1.0
137501,2015-02-16,5450,793,zinc,43500.0,78.05345836681272,1.0
137502,2015-02-16,5451,544,zinc,43500.0,115.54609837914404,1.0
137503,2015-02-16,5451,793,zinc,43500.0,77.45305860367219,1.0
137504,2015-02-16,5451,751,,,,
137505,2015-02-16,5452,547,zinc,43500.0,114.37271316909784,1.0
137506,2015-02-16,5452,751,,,,
137507,2015-02-16,5452,798,zinc,43500.0,76.86413616794859,1.0
137508,2015-02-16,5452,796,zinc,43500.0,76.8549545138728,1.0
137509,2015-02-16,5452,793,zinc,43500.0,76.85265892889787,1.0
137510,2015-02-16,5452,794,zinc,43500.0,76.85189371866346,1.0
137511,2015-02-16,5452,799,,,,
137512,2015-02-16,5452,800,zinc,43500.0,76.8794364871084,1.0
137513,2015-02-16,5453,799,zinc,43500.0,76.2707620995761,1.0
137514,2015-02-16,5453,792,,,,
137515,2015-02-16,5453,797,,,,
137516,2015-02-16,5453,796,,,,
137517,2015-02-16,5453,550,zinc,43500.0,113.20007329008729,1.0
137518,2015-02-16,5454,791,zinc,43500.0,75.6580753539853,1.0
137519,2015-02-16,5454,551,zinc,43500.0,112.53484025631053,1.0
137520,2015-02-16,5454,795,zinc,43500.0,75.65185985286763,1.0
137521,2015-02-16,5455,791,zinc,43500.0,75.05772413267043,1.0
137522,2015-02-16,5455,790,zinc,43500.0,75.06320442087113,1.0
137523,2015-02-16,5456,791,zinc,43500.0,74.45737378525965,1.0
137524,2015-02-16,5458,790,zinc,43500.0,73.26228666035735,1.0
137525,2015-02-16,5458,795,zinc,43500.0,73.25026285764608,1.0
137526,2015-02-16,5461,784,zinc,43500.0,71.53032409868673,1.0
137527,2015-02-16,5462,783,zinc,43500.0,70.94795900190381,1.0
137528,2015-02-16,5465,566,zinc,43500.0,104.21843682434006,1.0
137529,2015-02-16,5467,567,zinc,43500.0,103.15415155479602,1.0
137530,2015-02-16,5468,567,zinc,43500.0,102.75298425580957,1.0
137531,2015-02-16,5470,568,zinc,43500.0,101.69610276160728,1.0
137532,2015-02-16,5471,568,zinc,43500.0,101.29990031536569,1.0
137533,2015-02-16,5473,569,zinc,43500.0,100.25076578862935,1.0
137534,2015-02-16,5738,776,zinc,62333.333333333336,68.76106065042524,1.0
137535,2015-02-16,5738,771,zinc,62333.333333333336,68.93752764229853,1.0
137536,2015-02-16,5738,773,zinc,62333.333333333336,68.86229038737473,1.0
137537,2015-02-16,5738,778,zinc,62333.333333333336,68.70135157913595,1.0
137538,2015-02-16,5738,780,zinc,62333.333333333336,68.64788363777431,1.0
137539,2015-02-16,5739,769,zinc,62333.333333333336,69.61425453546126,1.0
137540,2015-02-16,5739,767,zinc,62333.333333333336,69.70105284492543,1.0
137541,2015-02-16,5740,765,zinc,62333.333333333336,70.3877622080368,1.0
137542,2015-02-16,5740,762,zinc,62333.333333333336,70.5371174970272,1.0
137543,2015-02-16,5746,741,zinc,62333.333333333336,75.44178217919047,1.0
137544,2015-02-16,5746,744,zinc,62333.333333333336,75.2121744230759,1.0
137545,2015-02-16,5746,729,zinc,62333.333333333336,76.48022139784084,1.0
137546,2015-02-16,5746,748,zinc,62333.333333333336,74.92507378289636,1.0
137547,2015-02-16,5746,750,zinc,62333.333333333336,74.78975561624563,1.0
137548,2015-02-16,5746,754,zinc,62333.333333333336,74.5357331011537,1.0
137549,2015-02-16,5746,747,zinc,62333.333333333336,74.99479667468331,1.0
137550,2015-02-16,5746,749,zinc,62333.333333333336,74.85672550670716,1.0
137551,2015-02-16,5746,756,zinc,62333.333333333336,74.41708548572717,1.0
137552,2015-02-16,5746,746,zinc,62333.333333333336,75.0658903502586,1.0
137553,2015-02-16,5746,724,zinc,62333.333333333336,76.96829030303601,1.0
137554,2015-02-16,5746,734,zinc,62333.333333333336,76.02446099762223,1.0
137555,2015-02-16,5746,739,zinc,62333.333333333336,75.60159366064849,1.0
137556,2015-02-16,5746,743,zinc,62333.333333333336,75.28735685723012,1.0
137557,2015-02-16,5746,726,zinc,62333.333333333336,76.76922426063756,1.0
137558,2015-02-16,5746,752,zinc,62333.333333333336,74.65996575878818,1.0
137559,2015-02-16,5746,745,zinc,62333.333333333336,75.13835091712183,1.0
137560,2015-02-16,5746,731,zinc,62333.333333333336,76.29400685927827,1.0
137561,2015-02-16,5746,751,zinc,62333.333333333336,74.72416781898772,1.0
137562,2015-02-16,5746,736,zinc,62333.333333333336,75.85133511627683,1.0
137563,2015-02-16,5746,740,zinc,62333.333333333336,75.52101676089343,1.0
