,date,lat_bin,lon_bin,Element,Element_value,Element_dis
137279,2015-02-16,5159,314,lead,1210.0,43.4275200321102
137280,2015-02-16,5159,316,lead,1210.0,43.930364721121805
137281,2015-02-16,5160,316,lead,1210.0,44.373156727595365
137282,2015-02-16,5160,315,lead,1210.0,44.12343345587067
137283,2015-02-16,5160,200,pyrene,21.3,34.653018184935966
137284,2015-02-16,5161,315,lead,1210.0,44.572449821295535
137285,2015-02-16,5161,317,lead,1210.0,45.06855158354005
137286,2015-02-16,5161,309,lead,1210.0,43.12823861424905
137287,2015-02-16,5161,316,lead,1210.0,44.81961720823706
137288,2015-02-16,5162,201,pyrene,21.3,35.69024448610493
137289,2015-02-16,5162,317,lead,1210.0,45.51605682750522
137290,2015-02-16,5162,318,lead,1210.0,45.764223546557346
137291,2015-02-16,5162,316,lead,1210.0,45.269637624950064
137292,2015-02-16,5162,312,lead,1210.0,44.30201618263328
137293,2015-02-16,5163,317,lead,1210.0,45.967047667120674
137294,2015-02-16,5163,202,pyrene,21.3,36.16312168413191
137295,2015-02-16,5164,314,lead,1210.0,45.70238238457527
137296,2015-02-16,5164,313,lead,1210.0,45.46636175404917
137297,2015-02-16,5165,316,lead,1210.0,46.64002395346084
137298,2015-02-16,5165,319,lead,1210.0,47.36248728290328
137299,2015-02-16,5165,315,lead,1210.0,46.40276341948642
137300,2015-02-16,5165,317,lead,1210.0,46.87908296783471
137301,2015-02-16,5165,202,pyrene,21.3,37.32029482718372
137302,2015-02-16,5165,318,lead,1210.0,47.119913084879386
137303,2015-02-16,5166,319,lead,1210.0,47.818574690986104
137304,2015-02-16,5166,320,lead,1210.0,48.060494969000736
137305,2015-02-16,5166,318,lead,1210.0,47.578378863419736
137306,2015-02-16,5167,320,lead,1210.0,48.51739801109554
137307,2015-02-16,5167,322,lead,1210.0,49.00164403841614
137308,2015-02-16,5167,319,lead,1210.0,48.27782019949124
137309,2015-02-16,5167,323,lead,1210.0,49.24626219052464
137310,2015-02-16,5167,324,lead,1210.0,49.49251093206904
137311,2015-02-16,5167,321,lead,1210.0,48.75868102191523
137312,2015-02-16,5167,202,pyrene,21.3,38.48014198980018
137313,2015-02-16,5168,203,pyrene,21.3,38.96915283473314
137314,2015-02-16,5168,325,lead,1210.0,50.18889565074879
137315,2015-02-16,5168,326,lead,1210.0,50.4360607325976
137316,2015-02-16,5170,204,pyrene,21.3,40.04945033128231
137317,2015-02-16,5171,205,pyrene,21.3,40.55322990614026
137318,2015-02-16,5173,206,pyrene,21.3,41.65124037583564
137319,2015-02-16,5174,207,pyrene,21.3,42.168273152804176
